/home/david/Descargas/OpenS Demo/OpenS/backend-ia/main.py:24: FutureWarning: 

All support for the `google.generativeai` package has ended. It will no longer be receiving 
updates or bug fixes. Please switch to the `google.genai` package as soon as possible.
See README for more details:

https://github.com/google-gemini/deprecated-generative-ai-python/blob/main/README.md

  import google.generativeai as genai  # type: ignore
INFO:     Started server process [74128]
INFO:     Waiting for application startup.
INFO:     127.0.0.1:34918 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:34920 - "GET /api/v1/patients HTTP/1.1" 200 OK
INFO:     127.0.0.1:34934 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:34944 - "GET /api/v1/patients/1/records HTTP/1.1" 200 OK
INFO:     127.0.0.1:53952 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:53966 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:54594 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:39304 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:39316 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:35094 - "GET /api/v1/patients/1/records HTTP/1.1" 200 OK
INFO:     127.0.0.1:35102 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:35104 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:35114 - "GET /api/v1/patients HTTP/1.1" 200 OK
INFO:     127.0.0.1:35124 - "GET /api/v1/patients/1/records HTTP/1.1" 200 OK
INFO:     127.0.0.1:56600 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:56602 - "GET /api/v1/patients HTTP/1.1" 200 OK
INFO:     127.0.0.1:56610 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:56620 - "GET /api/v1/patients/1/records HTTP/1.1" 200 OK
INFO:     127.0.0.1:56632 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:56638 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:37476 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:37490 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:34906 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:34916 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:45902 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:45918 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:38284 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:38286 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:60866 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:60878 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:40884 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:40888 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:41682 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:41696 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:45764 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:45772 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:53570 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:53582 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:56482 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:56484 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:54748 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:54758 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:37652 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:37658 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:49530 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:49534 - "GET /api/v1/patients HTTP/1.1" 200 OK
INFO:     127.0.0.1:49548 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:49556 - "GET /api/v1/patients/1/records HTTP/1.1" 200 OK
INFO:     127.0.0.1:49572 - "GET /api/v1/patients/1/records HTTP/1.1" 200 OK
INFO:     127.0.0.1:42056 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:42068 - "GET /api/v1/patients/1/records HTTP/1.1" 200 OK
INFO:     127.0.0.1:42080 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:36996 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:57278 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:57292 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:53888 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:53890 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:53904 - "GET /api/v1/patients HTTP/1.1" 200 OK
INFO:     127.0.0.1:53920 - "GET /api/v1/patients/1/records HTTP/1.1" 200 OK
INFO:     127.0.0.1:49718 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:49732 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:49740 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:38622 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:55738 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:55744 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:55874 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:55888 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:43414 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:43416 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:45404 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:45406 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:58332 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:58346 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:40150 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:43176 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:35348 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:35350 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:35364 - "GET /api/v1/patients HTTP/1.1" 200 OK
INFO:     127.0.0.1:35376 - "GET /api/v1/patients/1/records HTTP/1.1" 200 OK
INFO:     127.0.0.1:35392 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:35402 - "GET /api/v1/patients HTTP/1.1" 200 OK
INFO:     127.0.0.1:35408 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:35410 - "GET /api/v1/patients/1/records HTTP/1.1" 200 OK
INFO:     127.0.0.1:60656 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:44964 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:44970 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:44980 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:44982 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:41660 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:41674 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:51894 - "GET /api/v1/patients/2/records HTTP/1.1" 200 OK
INFO:     127.0.0.1:51906 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:58354 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:58358 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:38036 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:38040 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:58808 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:60188 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:60200 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:60214 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:60216 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:42164 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:42180 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:33078 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:54212 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:54224 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:54230 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:54242 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:37492 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:53390 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:53404 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:53418 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
